Fp1-AV,F7-AV,T3-AV,T5-AV,F3-AV,C3-AV,P3-AV,O1-AV,Fp2-AV,F8-AV,T4-AV,T6-AV,F4-AV,C4-AV,P4-AV,O2-AV,Fz-AV,Cz-AV,Pz-AV,A1-AV,A2-AV
-173.54,186.11,154.19,84.91,-13.8,-105.83,-53.03,131.29,-209.15,-231.39,88.22,138.14,-62.34,55.31,28.06,56.36,-18.54,87.23,-301.61,94.6,65.42
-181.27,143.55,175.39,127.17,-104.63,-182.11,-144.03,130.18,-174.36,-195.21,133.78,175.52,-14.6,93.63,52.1,76.05,12.77,114.16,-420.0,119.34,103.68
-192.67,105.02,180.78,136.72,-151.26,-174.2,-168.41,116.31,-154.2,-187.81,143.68,194.46,1.48,107.75,64.69,79.54,50.06,117.93,-420.0,128.74,114.53
-195.13,88.45,168.77,117.83,-100.21,-84.88,-93.47,96.95,-166.23,-227.46,90.62,163.95,-29.25,82.69,53.02,64.28,78.07,89.58,-414.72,140.91,75.38
-192.02,98.21,142.59,79.54,-38.31,12.44,13.45,57.31,-209.21,-287.28,29.85,103.85,-82.25,37.37,22.99,25.89,65.45,48.23,-104.83,147.46,29.22
-200.82,124.11,110.6,27.61,48.22,171.84,154.03,26.37,-276.15,-358.76,-8.25,45.83,-141.0,-19.41,-10.59,-12.0,49.39,6.51,152.65,144.8,-35.5
-201.48,163.52,77.42,-17.31,126.96,253.61,257.26,33.44,-318.63,-396.99,-43.71,15.64,-189.98,-45.73,-24.29,-18.95,36.05,-10.69,270.12,111.63,-78.71
-200.87,196.67,67.05,-20.63,162.55,264.22,286.19,57.84,-324.8,-407.51,-54.79,1.51,-209.52,-58.45,-29.52,-19.05,12.06,-11.02,294.3,98.24,-103.55
-197.34,206.32,90.97,2.89,144.1,171.78,212.16,95.85,-293.77,-375.44,-25.03,23.25,-174.73,-38.53,-16.58,-6.36,-18.15,11.67,181.61,91.37,-85.33
-189.63,200.13,118.96,35.45,78.75,55.95,96.3,120.3,-262.71,-317.99,12.56,71.6,-116.82,-4.38,4.97,20.3,-32.58,45.06,-3.63,92.63,-25.27
-169.67,176.99,146.59,64.42,-17.95,-90.75,-46.53,129.49,-216.61,-239.21,67.3,130.12,-51.42,48.22,33.61,46.62,-18.94,85.48,-226.96,98.17,50.75
-166.7,132.33,168.03,101.52,-104.85,-182.14,-141.56,139.32,-181.78,-196.64,124.68,171.06,-5.39,84.63,54.89,66.56,10.03,110.77,-391.63,106.9,99.34
-170.38,94.16,175.31,113.06,-141.73,-185.92,-163.42,122.57,-167.03,-188.75,146.72,178.71,30.63,95.09,64.05,67.37,46.85,113.87,-420.0,118.9,107.38
-188.08,79.7,156.5,80.45,-103.8,-96.06,-87.62,96.54,-210.5,-221.85,109.35,155.79,35.34,66.19,55.7,58.12,77.51,87.7,-353.55,132.88,69.54
-204.71,93.01,128.83,39.83,-14.38,21.51,28.24,69.48,-264.95,-275.46,55.3,111.05,-40.25,28.76,35.31,39.57,93.86,53.67,-167.57,149.42,18.73
-223.39,123.13,93.11,-5.84,88.41,167.31,190.19,45.21,-297.25,-334.92,-6.35,45.68,-128.89,-23.09,7.71,14.09,96.57,15.82,53.48,136.71,-57.25
